ordernumber,orderdate,productline,country,quantityordered,priceeach,sales,total_sales,dealsize
10261,2004-06-17 00:00:00,Classic Cars,Canada,27,100.0,3378.24,2700.0,Medium
10273,2004-07-21 00:00:00,Classic Cars,Belgium,30,100.0,3508.8,3000.0,Medium
10283,2004-08-20 00:00:00,Classic Cars,Canada,25,100.0,2992.0,2500.0,Small
10295,2004-09-10 00:00:00,Classic Cars,USA,24,100.0,3427.2,2400.0,Medium
10307,2004-10-14 00:00:00,Classic Cars,USA,22,100.0,2692.8,2200.0,Small
10316,2004-11-01 00:00:00,Classic Cars,UK,33,100.0,4128.96,3300.0,Medium
10325,2004-11-05 00:00:00,Classic Cars,Norway,47,64.93,3051.71,3051.7100000000005,Medium
10337,2004-11-21 00:00:00,Classic Cars,USA,25,48.05,1201.25,1201.25,Small
10350,2004-12-02 00:00:00,Classic Cars,Spain,26,75.47,1962.22,1962.22,Small
10359,2004-12-15 00:00:00,Classic Cars,France,48,54.68,2624.64,2624.64,Small
10373,2005-01-31 00:00:00,Classic Cars,Finland,39,100.0,4046.25,3900.0,Medium
10384,2005-02-23 00:00:00,Classic Cars,USA,34,100.0,4846.7,3400.0,Medium
10395,2005-03-17 00:00:00,Classic Cars,France,32,100.0,3370.56,3200.0,Medium
10400,2005-04-01 00:00:00,Classic Cars,USA,64,100.0,9661.44,6400.0,Large
10414,2005-05-06 00:00:00,Classic Cars,USA,19,100.0,2764.88,1900.0,Small
10103,2003-01-29 00:00:00,Classic Cars,Norway,42,100.0,5398.26,4200.0,Medium
10114,2003-04-01 00:00:00,Classic Cars,France,31,100.0,4305.28,3100.0,Medium
10126,2003-05-28 00:00:00,Classic Cars,Spain,22,100.0,3347.74,2200.0,Medium
10140,2003-07-24 00:00:00,Classic Cars,USA,26,100.0,3188.12,2600.0,Medium
10150,2003-09-19 00:00:00,Classic Cars,Singapore,20,100.0,3191.2,2000.0,Medium
10164,2003-10-21 00:00:00,Classic Cars,Austria,21,100.0,3536.82,2100.0,Medium
10175,2003-11-06 00:00:00,Classic Cars,UK,33,100.0,5362.83,3300.0,Medium
10183,2003-11-13 00:00:00,Classic Cars,USA,28,100.0,3433.36,2800.0,Medium
10194,2003-11-25 00:00:00,Classic Cars,France,26,100.0,4263.74,2600.0,Medium
10207,2003-12-09 00:00:00,Classic Cars,USA,31,100.0,4076.19,3100.0,Medium
10217,2004-02-04 00:00:00,Classic Cars,Singapore,48,100.0,7020.48,4800.0,Large
10229,2004-03-11 00:00:00,Classic Cars,USA,50,100.0,6426.5,5000.0,Medium
10245,2004-05-04 00:00:00,Classic Cars,USA,28,100.0,4591.72,2800.0,Medium
10259,2004-06-15 00:00:00,Classic Cars,Singapore,26,100.0,4033.38,2600.0,Medium
10270,2004-07-19 00:00:00,Classic Cars,Australia,32,100.0,4302.08,3200.0,Medium
10281,2004-08-19 00:00:00,Classic Cars,USA,44,100.0,7020.64,4400.0,Large
10291,2004-09-08 00:00:00,Classic Cars,Sweden,30,100.0,3855.9,3000.0,Medium
10305,2004-10-13 00:00:00,Classic Cars,USA,38,100.0,6680.78,3800.0,Medium
10313,2004-10-22 00:00:00,Classic Cars,Canada,40,100.0,6678.0,4000.0,Medium
10322,2004-11-04 00:00:00,Classic Cars,USA,46,61.99,2851.54,2851.54,Small
10334,2004-11-19 00:00:00,Classic Cars,Sweden,26,100.0,3188.12,2600.0,Medium
10347,2004-11-29 00:00:00,Classic Cars,Australia,27,100.0,4428.0,2700.0,Medium
10357,2004-12-10 00:00:00,Classic Cars,USA,43,100.0,5780.92,4300.0,Medium
10370,2005-01-20 00:00:00,Classic Cars,Australia,35,65.63,2297.05,2297.0499999999997,Small
10381,2005-02-17 00:00:00,Classic Cars,USA,37,100.0,6231.54,3700.0,Medium
10391,2005-03-09 00:00:00,Classic Cars,Australia,37,46.9,1735.3,1735.3,Small
10411,2005-05-01 00:00:00,Classic Cars,Canada,27,100.0,4427.73,2700.0,Medium
10425,2005-05-31 00:00:00,Classic Cars,France,38,100.0,5894.94,3800.0,Medium
10108,2003-03-03 00:00:00,Classic Cars,Philippines,33,100.0,5265.15,3300.0,Medium
10122,2003-05-08 00:00:00,Classic Cars,France,42,100.0,7599.9,4200.0,Large
10135,2003-07-02 00:00:00,Classic Cars,USA,42,100.0,8008.56,4200.0,Large
10147,2003-09-05 00:00:00,Classic Cars,USA,48,100.0,9245.76,4800.0,Large
10159,2003-10-10 00:00:00,Classic Cars,USA,41,100.0,8296.35,4100.0,Large
10169,2003-11-04 00:00:00,Classic Cars,Australia,30,100.0,5019.9,3000.0,Medium
10181,2003-11-12 00:00:00,Classic Cars,Norway,27,100.0,5411.07,2700.0,Medium
10191,2003-11-20 00:00:00,Classic Cars,Germany,21,100.0,3840.9,2100.0,Medium
10203,2003-12-02 00:00:00,Classic Cars,Spain,20,100.0,3930.4,2000.0,Medium
10211,2004-01-15 00:00:00,Classic Cars,France,41,100.0,7498.9,4100.0,Large
10225,2004-02-22 00:00:00,Classic Cars,Switzerland,27,100.0,4517.91,2700.0,Medium
10238,2004-04-09 00:00:00,Classic Cars,Denmark,28,100.0,5774.72,2800.0,Medium
10253,2004-06-01 00:00:00,Classic Cars,UK,24,100.0,3922.56,2400.0,Medium
10266,2004-07-06 00:00:00,Classic Cars,Italy,44,100.0,9160.36,4400.0,Large
10276,2004-08-02 00:00:00,Classic Cars,USA,50,100.0,9631.0,5000.0,Large
10287,2004-08-30 00:00:00,Classic Cars,Switzerland,21,100.0,3432.24,2100.0,Medium
10300,2003-10-04 00:00:00,Classic Cars,Germany,33,100.0,5521.89,3300.0,Medium
10310,2004-10-16 00:00:00,Classic Cars,Germany,33,100.0,6934.62,3300.0,Medium
10320,2004-11-03 00:00:00,Classic Cars,Sweden,31,100.0,6876.11,3100.0,Medium
10329,2004-11-15 00:00:00,Classic Cars,USA,41,71.47,2930.27,2930.27,Small
10341,2004-11-24 00:00:00,Classic Cars,Austria,45,79.65,3584.25,3584.2500000000005,Medium
10363,2005-01-06 00:00:00,Classic Cars,Finland,33,85.39,2817.87,2817.87,Small
10375,2005-02-03 00:00:00,Classic Cars,France,45,76.0,3420.0,3420.0,Medium
10389,2005-03-03 00:00:00,Classic Cars,Sweden,26,99.04,2575.04,2575.04,Small
10419,2005-05-17 00:00:00,Classic Cars,Austria,12,100.0,1961.28,1200.0,Small
10105,2003-02-11 00:00:00,Classic Cars,Denmark,41,100.0,8690.36,4100.0,Large
10117,2003-04-16 00:00:00,Classic Cars,Singapore,33,100.0,6034.38,3300.0,Medium
10127,2003-06-03 00:00:00,Classic Cars,USA,46,100.0,11279.2,4600.0,Large
10142,2003-08-08 00:00:00,Classic Cars,USA,33,100.0,8023.29,3300.0,Large
10153,2003-09-28 00:00:00,Classic Cars,Spain,20,100.0,4904.0,2000.0,Medium
10165,2003-10-22 00:00:00,Classic Cars,Singapore,44,100.0,8594.52,4400.0,Large
10176,2003-11-06 00:00:00,Classic Cars,Italy,33,100.0,7474.5,3300.0,Large
10185,2003-11-14 00:00:00,Classic Cars,USA,21,100.0,3883.74,2100.0,Medium
10196,2003-11-26 00:00:00,Classic Cars,USA,47,100.0,8887.7,4700.0,Large
10208,2004-01-02 00:00:00,Classic Cars,France,46,100.0,8602.92,4600.0,Large
10220,2004-02-12 00:00:00,Classic Cars,Ireland,32,100.0,7181.44,3200.0,Large
10231,2004-03-19 00:00:00,Classic Cars,Spain,42,100.0,8378.58,4200.0,Large
10247,2004-05-05 00:00:00,Classic Cars,Finland,44,100.0,10606.2,4400.0,Large
10272,2004-07-20 00:00:00,Classic Cars,USA,35,100.0,5818.4,3500.0,Medium
10282,2004-08-20 00:00:00,Classic Cars,USA,41,100.0,7071.27,4100.0,Large
10293,2004-09-09 00:00:00,Classic Cars,Italy,46,100.0,8411.56,4600.0,Large
10306,2004-10-14 00:00:00,Classic Cars,UK,31,100.0,6570.76,3100.0,Medium
10314,2004-10-22 00:00:00,Classic Cars,Denmark,38,100.0,7975.44,3800.0,Large
10325,2004-11-05 00:00:00,Classic Cars,Norway,42,64.0,2688.0,2688.0,Small
10336,2004-11-20 00:00:00,Classic Cars,France,33,57.22,1888.26,1888.26,Small
10348,2004-11-01 00:00:00,Classic Cars,Spain,48,52.36,2513.28,2513.2799999999997,Small
10359,2004-12-15 00:00:00,Classic Cars,France,42,100.0,4764.48,4200.0,Medium
10371,2005-01-23 00:00:00,Classic Cars,USA,32,100.0,3560.64,3200.0,Medium
10382,2005-02-17 00:00:00,Classic Cars,USA,34,100.0,3823.64,3400.0,Medium
10395,2005-03-17 00:00:00,Classic Cars,France,33,69.12,2280.96,2280.96,Small
10413,2005-05-05 00:00:00,Classic Cars,USA,36,100.0,8677.8,3600.0,Large
10103,2003-01-29 00:00:00,Trucks and Buses,Norway,27,100.0,3394.98,2700.0,Medium
10113,2003-03-26 00:00:00,Trucks and Buses,USA,21,100.0,3415.44,2100.0,Medium
10126,2003-05-28 00:00:00,Trucks and Buses,Spain,21,100.0,2439.57,2100.0,Small
10140,2003-07-24 00:00:00,Trucks and Buses,USA,38,100.0,4829.8,3800.0,Medium
10150,2003-09-19 00:00:00,Trucks and Buses,Singapore,30,100.0,4100.1,3000.0,Medium
10164,2003-10-21 00:00:00,Trucks and Buses,Austria,49,100.0,6563.06,4900.0,Medium
10174,2003-11-06 00:00:00,Trucks and Buses,Australia,43,100.0,6817.22,4300.0,Medium
10183,2003-11-13 00:00:00,Trucks and Buses,USA,41,100.0,6163.94,4100.0,Medium
10194,2003-11-25 00:00:00,Trucks and Buses,France,38,100.0,4933.92,3800.0,Medium
10206,2003-12-05 00:00:00,Trucks and Buses,Canada,28,100.0,4056.36,2800.0,Medium
10216,2004-02-02 00:00:00,Trucks and Buses,France,43,100.0,5759.42,4300.0,Medium
10229,2004-03-11 00:00:00,Trucks and Buses,USA,25,100.0,3451.0,2500.0,Medium
10245,2004-05-04 00:00:00,Trucks and Buses,USA,38,100.0,5920.4,3800.0,Medium
10258,2004-06-15 00:00:00,Trucks and Buses,Japan,41,100.0,6668.24,4100.0,Medium
10270,2004-07-19 00:00:00,Trucks and Buses,Australia,28,100.0,4094.72,2800.0,Medium
10281,2004-08-19 00:00:00,Trucks and Buses,USA,25,100.0,2938.5,2500.0,Small
10291,2004-09-08 00:00:00,Trucks and Buses,Sweden,41,100.0,6387.8,4100.0,Medium
10304,2004-10-11 00:00:00,Trucks and Buses,France,39,100.0,6396.0,3900.0,Medium
10313,2004-10-22 00:00:00,Trucks and Buses,Canada,21,100.0,2669.1,2100.0,Small
10322,2004-11-04 00:00:00,Trucks and Buses,USA,27,100.0,4784.13,2700.0,Medium
10333,2004-11-18 00:00:00,Trucks and Buses,USA,33,99.21,3273.93,3273.93,Medium
10347,2004-11-29 00:00:00,Trucks and Buses,Australia,29,100.0,3586.43,2900.0,Medium
10357,2004-12-10 00:00:00,Trucks and Buses,USA,49,100.0,5960.36,4900.0,Medium
10370,2005-01-20 00:00:00,Trucks and Buses,Australia,49,100.0,8470.14,4900.0,Large
10381,2005-02-17 00:00:00,Trucks and Buses,USA,20,100.0,2952.0,2000.0,Small
10391,2005-03-09 00:00:00,Trucks and Buses,Australia,39,63.2,2464.8,2464.8,Small
10411,2005-05-01 00:00:00,Trucks and Buses,Canada,40,100.0,6232.0,4000.0,Medium
10424,2005-05-31 00:00:00,Trucks and Buses,Spain,49,100.0,7969.36,4900.0,Large
10107,2003-02-24 00:00:00,Motorcycles,USA,21,100.0,3036.6,2100.0,Medium
10121,2003-05-07 00:00:00,Motorcycles,France,50,100.0,8284.0,5000.0,Large
10134,2003-07-01 00:00:00,Motorcycles,France,20,100.0,2711.2,2000.0,Small
10145,2003-08-25 00:00:00,Motorcycles,USA,49,100.0,8339.8,4900.0,Large
10159,2003-10-10 00:00:00,Motorcycles,USA,38,100.0,6238.84,3800.0,Medium
10169,2003-11-04 00:00:00,Motorcycles,Australia,35,100.0,4639.25,3500.0,Medium
10180,2003-11-11 00:00:00,Motorcycles,France,40,100.0,6747.6,4000.0,Medium
10189,2003-11-18 00:00:00,Motorcycles,USA,28,100.0,4512.48,2800.0,Medium
10201,2003-12-01 00:00:00,Motorcycles,USA,25,100.0,4029.0,2500.0,Medium
10211,2004-01-15 00:00:00,Motorcycles,France,36,100.0,4771.8,3600.0,Medium
10224,2004-02-21 00:00:00,Motorcycles,France,43,100.0,6087.94,4300.0,Medium
10237,2004-04-05 00:00:00,Motorcycles,USA,32,100.0,4193.28,3200.0,Medium
10251,2004-05-18 00:00:00,Motorcycles,USA,46,100.0,7552.28,4600.0,Large
10263,2004-06-28 00:00:00,Motorcycles,USA,48,100.0,6434.4,4800.0,Medium
10276,2004-08-02 00:00:00,Motorcycles,USA,43,100.0,5181.5,4300.0,Medium
10285,2004-08-27 00:00:00,Motorcycles,USA,49,100.0,6863.92,4900.0,Medium
10299,2004-09-30 00:00:00,Motorcycles,Finland,24,100.0,4157.04,2400.0,Medium
10309,2004-10-15 00:00:00,Motorcycles,Norway,26,100.0,4660.24,2600.0,Medium
10319,2004-11-03 00:00:00,Motorcycles,USA,30,100.0,4111.8,3000.0,Medium
10329,2004-11-15 00:00:00,Motorcycles,USA,24,100.0,3542.64,2400.0,Medium
10341,2004-11-24 00:00:00,Motorcycles,Austria,55,100.0,8118.55,5500.0,Large
10362,2005-01-05 00:00:00,Motorcycles,USA,22,100.0,3877.06,2200.0,Medium
10375,2005-02-03 00:00:00,Motorcycles,France,49,78.92,3867.08,3867.08,Medium
10388,2005-03-03 00:00:00,Motorcycles,USA,44,100.0,5951.44,4400.0,Medium
10403,2005-04-08 00:00:00,Motorcycles,UK,66,100.0,8648.64,6600.0,Large
10417,2005-05-13 00:00:00,Motorcycles,Spain,21,100.0,3447.78,2100.0,Medium
10104,2003-01-31 00:00:00,Classic Cars,Spain,34,100.0,5958.5,3400.0,Medium
10117,2003-04-16 00:00:00,Classic Cars,Singapore,43,100.0,5911.64,4300.0,Medium
10127,2003-06-03 00:00:00,Classic Cars,USA,46,100.0,7366.44,4600.0,Large
10142,2003-08-08 00:00:00,Classic Cars,USA,33,100.0,4985.64,3300.0,Medium
10153,2003-09-28 00:00:00,Classic Cars,Spain,42,100.0,5393.64,4200.0,Medium
10165,2003-10-22 00:00:00,Classic Cars,Singapore,34,100.0,4880.02,3400.0,Medium
10176,2003-11-06 00:00:00,Classic Cars,Italy,47,100.0,8378.69,4700.0,Large
10185,2003-11-14 00:00:00,Classic Cars,USA,33,100.0,4038.21,3300.0,Medium
10196,2003-11-26 00:00:00,Classic Cars,USA,24,100.0,3807.12,2400.0,Medium
10208,2004-01-02 00:00:00,Classic Cars,France,26,100.0,3142.36,2600.0,Medium
10220,2004-02-12 00:00:00,Classic Cars,Ireland,30,100.0,4713.6,3000.0,Medium
10230,2004-03-15 00:00:00,Classic Cars,Germany,43,100.0,7016.31,4300.0,Large
10247,2004-05-05 00:00:00,Classic Cars,Finland,25,100.0,4381.25,2500.0,Medium
10272,2004-07-20 00:00:00,Classic Cars,USA,27,100.0,4283.01,2700.0,Medium
10282,2004-08-20 00:00:00,Classic Cars,USA,27,100.0,4364.82,2700.0,Medium
10293,2004-09-09 00:00:00,Classic Cars,Italy,24,100.0,4242.24,2400.0,Medium
10306,2004-10-14 00:00:00,Classic Cars,UK,34,100.0,4982.7,3400.0,Medium
10314,2004-10-22 00:00:00,Classic Cars,Denmark,46,100.0,6393.54,4600.0,Medium
10324,2004-11-05 00:00:00,Classic Cars,USA,27,54.33,1466.91,1466.9099999999999,Small
10336,2004-11-20 00:00:00,Classic Cars,France,33,100.0,4059.33,3300.0,Medium
10348,2004-11-01 00:00:00,Classic Cars,Spain,47,100.0,4801.52,4700.0,Medium
10358,2004-12-10 00:00:00,Classic Cars,Spain,49,55.34,2711.66,2711.6600000000003,Small
10372,2005-01-26 00:00:00,Classic Cars,Japan,40,100.0,5862.0,4000.0,Medium
10382,2005-02-17 00:00:00,Classic Cars,USA,37,100.0,4071.85,3700.0,Medium
10413,2005-05-05 00:00:00,Classic Cars,USA,47,100.0,8236.75,4700.0,Large
10108,2003-03-03 00:00:00,Classic Cars,Philippines,45,100.0,6130.35,4500.0,Medium
10122,2003-05-08 00:00:00,Classic Cars,France,37,99.82,3693.34,3693.3399999999997,Medium
10135,2003-07-02 00:00:00,Classic Cars,USA,48,100.0,6031.68,4800.0,Medium
10147,2003-09-05 00:00:00,Classic Cars,USA,31,100.0,3494.94,3100.0,Medium
10160,2003-10-11 00:00:00,Classic Cars,USA,46,100.0,5294.14,4600.0,Medium
10170,2003-11-04 00:00:00,Classic Cars,Austria,47,100.0,5464.69,4700.0,Medium
10181,2003-11-12 00:00:00,Classic Cars,Norway,28,100.0,2860.76,2800.0,Small
10191,2003-11-20 00:00:00,Classic Cars,Germany,40,100.0,5590.0,4000.0,Medium
10203,2003-12-02 00:00:00,Classic Cars,Spain,20,100.0,2254.8,2000.0,Small
